Product,Type,Release Date,Process Size (nm),TDP (W),Transistors (million),Freq (MHz),Vendor
NVIDIA Tesla K40s,GPU,2013-11-22,28.0,245.0,7080.0,745.0,NVIDIA
NVIDIA GeForce GTX 1050 Ti Mobile,GPU,2017-02-01,16.0,75.0,4400.0,1493.0,NVIDIA
AMD Radeon HD 6310 IGP,GPU,2010-11-09,40.0,18.0,450.0,488.0,AMD
AMD Radeon R7 250 OEM,GPU,2013-10-08,28.0,65.0,950.0,1000.0,AMD
NVIDIA Quadro RTX 4000 Max-Q,GPU,2019-05-27,12.0,80.0,13600.0,780.0,NVIDIA
NVIDIA GeForce 9600 GSO,GPU,2008-04-28,65.0,84.0,754.0,550.0,NVIDIA
NVIDIA GeForce GTX 560 SE,GPU,2012-02-20,40.0,150.0,1950.0,736.0,NVIDIA
AMD Radeon R7 240,GPU,2013-10-08,28.0,30.0,950.0,730.0,AMD
Sony Playstation 2 GPU 180nm,GPU,2001-04-18,180.0,79.0,54.0,147.0,Other
NVIDIA GeForce GT 1030 GK107,GPU,2018-09-30,28.0,65.0,1270.0,1058.0,NVIDIA
AMD Radeon HD 7510M,GPU,2012-01-07,40.0,11.0,716.0,450.0,AMD
AMD Radeon R6 Mobile Graphics,GPU,2015-11-07,28.0,15.0,1200.0,200.0,AMD
NVIDIA Quadro RTX 3000 Max-Q,GPU,2019-05-27,12.0,60.0,10800.0,600.0,NVIDIA
ATI Mobility Radeon HD 5850,GPU,2010-01-07,40.0,30.0,1040.0,500.0,ATI
NVIDIA GeForce GTX 1060 6 GB GDDR5X,GPU,2018-10-18,16.0,120.0,7200.0,1506.0,NVIDIA
NVIDIA GeForce GTX 950M Mac Edition,GPU,2015-03-13,28.0,75.0,1870.0,993.0,NVIDIA
AMD Radeon HD 6990,GPU,2011-03-08,40.0,375.0,2640.0,830.0,AMD
NVIDIA GeForce GT 740M,GPU,2013-04-01,28.0,45.0,1270.0,810.0,NVIDIA
ATI Radeon X300 SE HyperMemory,GPU,2006-10-25,110.0,30.0,107.0,325.0,ATI
NVIDIA Quadro 4100,GPU,NaT,28.0,35.0,3540.0,797.0,NVIDIA
NVIDIA GeForce 310M,GPU,2010-01-10,40.0,14.0,260.0,606.0,NVIDIA
NVIDIA Tesla T10 Processor,GPU,2009-04-09,55.0,188.0,1400.0,610.0,NVIDIA
ATI Mobility Radeon HD 3870,GPU,2008-06-04,55.0,55.0,666.0,660.0,ATI
NVIDIA GeForce 810M,GPU,2014-03-24,28.0,15.0,585.0,738.0,NVIDIA
NVIDIA GeForce RTX 2080 SUPER,GPU,2019-07-23,12.0,250.0,13600.0,1650.0,NVIDIA
AMD Radeon HD 6630M,GPU,2011-01-04,40.0,26.0,716.0,500.0,AMD
AMD Radeon R5 330 OEM,GPU,2015-05-05,28.0,50.0,690.0,830.0,AMD
NVIDIA GeForce 8400 GS,GPU,2007-04-17,80.0,40.0,210.0,459.0,NVIDIA
AMD Radeon HD 7730M,GPU,2012-04-24,28.0,25.0,1500.0,575.0,AMD
AMD Radeon HD 7670A,GPU,2012-01-05,40.0,45.0,716.0,600.0,AMD
AMD Radeon HD 7310 IGP,GPU,2012-06-06,40.0,18.0,450.0,500.0,AMD
ATI Radeon X1950 PRO DUAL,GPU,2007-01-10,80.0,130.0,330.0,575.0,ATI
AMD FirePro S9100,GPU,2014-10-02,28.0,225.0,6200.0,824.0,AMD
AMD Radeon HD 7570M,GPU,2012-01-07,40.0,13.0,716.0,500.0,AMD
AMD FirePro W4300,GPU,2015-12-01,28.0,50.0,2080.0,930.0,AMD
AMD Radeon Vega 10 Mobile,GPU,2019-01-08,14.0,10.0,4940.0,300.0,AMD
NVIDIA GeForce 820A,GPU,2014-03-17,28.0,15.0,585.0,775.0,NVIDIA
NVIDIA GeForce RTX 2060 Max-Q,GPU,2020-01-29,12.0,65.0,10800.0,975.0,NVIDIA
ATI Radeon X1800 CrossFire Edition,GPU,2005-12-20,90.0,113.0,321.0,600.0,ATI
NVIDIA NVS 510,GPU,2012-10-23,28.0,35.0,1270.0,797.0,NVIDIA
AMD Radeon HD 7570,GPU,2012-01-05,40.0,60.0,716.0,650.0,AMD
NVIDIA GeForce 9800M GT,GPU,2008-07-29,65.0,65.0,754.0,500.0,NVIDIA
NVIDIA Quadro FX 4600,GPU,2007-03-05,90.0,134.0,681.0,500.0,NVIDIA
AMD Radeon HD 7770 GHz Edition,GPU,2012-02-15,28.0,80.0,1500.0,1000.0,AMD
NVIDIA GeForce 8800M GTX,GPU,2007-11-01,65.0,65.0,754.0,500.0,NVIDIA
ATI Radeon HD 5570,GPU,2010-02-09,40.0,39.0,627.0,625.0,ATI
NVIDIA GeForce GT 640M LE,GPU,2012-03-22,28.0,20.0,1270.0,500.0,NVIDIA
ATI Mobility Radeon HD 5430,GPU,2010-01-07,40.0,7.0,292.0,500.0,ATI
AMD Radeon E6465,GPU,2015-09-29,40.0,25.0,370.0,600.0,AMD
ATI Radeon HD 3870 AGP,GPU,NaT,55.0,106.0,666.0,777.0,ATI
AMD Radeon R4 Mobile Graphics,GPU,2016-06-01,28.0,15.0,1200.0,200.0,AMD
AMD Radeon R5 Graphics,GPU,2014-09-17,28.0,15.0,2410.0,497.0,AMD
NVIDIA Quadro M4000,GPU,2015-06-29,28.0,120.0,5200.0,773.0,NVIDIA
NVIDIA GeForce GTX 1050 Ti,GPU,2016-10-25,14.0,75.0,3300.0,1291.0,NVIDIA
NVIDIA GeForce MX350,GPU,2020-02-10,14.0,20.0,3300.0,747.0,NVIDIA
ATI FireGL V7600,GPU,2007-11-06,80.0,127.0,720.0,600.0,ATI
Intel Xeon Phi 7120X,GPU,2013-06-17,22.0,300.0,5000.0,1238.0,Intel
NVIDIA Quadro NVS 160M,GPU,2008-08-15,65.0,12.0,210.0,580.0,NVIDIA
NVIDIA GeForce GTS 150M,GPU,2009-03-03,65.0,45.0,505.0,400.0,NVIDIA
NVIDIA Quadro M5000,GPU,2015-06-29,28.0,150.0,5200.0,861.0,NVIDIA
ATI Radeon HD 3750,GPU,2008-09-11,55.0,65.0,378.0,796.0,ATI
NVIDIA GeForce 9200,GPU,2007-04-17,65.0,40.0,314.0,450.0,NVIDIA
AMD Radeon HD 7450M,GPU,2012-01-07,40.0,7.0,370.0,700.0,AMD
NVIDIA Quadro FX 3800M,GPU,2008-08-14,65.0,100.0,754.0,675.0,NVIDIA
NVIDIA Jetson AGX Xavier GPU,GPU,NaT,12.0,30.0,9000.0,854.0,NVIDIA
AMD Radeon R3 Mobile Graphics,GPU,2015-01-28,28.0,15.0,930.0,600.0,AMD
NVIDIA GeForce 605 OEM,GPU,2012-04-02,40.0,25.0,292.0,523.0,NVIDIA
AMD Radeon HD 7600G IGP,GPU,2012-09-01,32.0,19.0,1303.0,320.0,AMD
AMD Radeon HD 6970M,GPU,2011-01-04,40.0,75.0,1700.0,680.0,AMD
ATI Radeon HD 5450 PCIe x1,GPU,2010-02-04,40.0,19.0,292.0,650.0,ATI
ATI GameCube GPU,GPU,2000-08-24,180.0,45.0,51.0,162.0,ATI
NVIDIA GeForce GT 710 PCIe x1,GPU,2014-03-27,28.0,19.0,1020.0,954.0,NVIDIA
NVIDIA GeForce GTX 860M,GPU,2014-03-10,28.0,75.0,3540.0,797.0,NVIDIA
NVIDIA GeForce GTX 1650 GDDR6,GPU,2020-04-01,12.0,75.0,4700.0,1410.0,NVIDIA
NVIDIA GeForce 9650M GT,GPU,2008-08-19,55.0,23.0,314.0,550.0,NVIDIA
AMD Radeon HD 6320 IGP,GPU,2011-08-15,40.0,18.0,450.0,508.0,AMD
NVIDIA GeForce 315 OEM,GPU,2010-03-31,40.0,33.0,486.0,475.0,NVIDIA
ATI Radeon HD 3850 X3,GPU,NaT,55.0,145.0,666.0,669.0,ATI
NVIDIA GeForce 805A,GPU,2014-07-22,28.0,15.0,1020.0,719.0,NVIDIA
NVIDIA GeForce 9800 GT,GPU,2008-07-21,65.0,125.0,754.0,600.0,NVIDIA
NVIDIA GeForce GT 335M,GPU,2010-01-07,40.0,28.0,727.0,450.0,NVIDIA
AMD FirePro S10000 Passive 12GB,GPU,2014-03-01,28.0,375.0,4313.0,825.0,AMD
AMD Radeon HD 7620G IGP,GPU,2012-05-15,32.0,25.0,1303.0,360.0,AMD
NVIDIA GeForce GTX 980 Ti,GPU,2015-06-02,28.0,250.0,8000.0,1000.0,NVIDIA
AMD Radeon Pro Duo,GPU,2016-04-26,28.0,350.0,8900.0,1000.0,AMD
AMD Radeon Pro 5500M,GPU,2019-11-13,7.0,85.0,6400.0,1000.0,AMD
NVIDIA GeForce 9400M,GPU,2008-10-15,65.0,12.0,314.0,450.0,NVIDIA
AMD Radeon R3E Mobile Graphics,GPU,2015-01-28,28.0,100.0,930.0,351.0,AMD
ATI Radeon HD 4650 AGP,GPU,2008-09-10,55.0,48.0,514.0,600.0,ATI
NVIDIA GeForce 315M,GPU,2011-01-05,40.0,14.0,260.0,606.0,NVIDIA
NVIDIA GeForce GTX 260 Rev. 2,GPU,2008-07-23,55.0,182.0,1400.0,576.0,NVIDIA
ATI Radeon 7500 Mac Edition,GPU,2002-04-16,150.0,23.0,60.0,260.0,ATI
AMD Radeon RX 5300M,GPU,2019-11-13,7.0,85.0,6400.0,1000.0,AMD
NVIDIA GeForce G102M,GPU,2009-01-08,65.0,14.0,314.0,450.0,NVIDIA
AMD FirePro S9170,GPU,2015-07-08,28.0,275.0,6200.0,930.0,AMD
NVIDIA GeForce GTX 1650 Ti Mobile,GPU,2020-04-23,12.0,50.0,6600.0,1350.0,NVIDIA
AMD Radeon HD 6625M,GPU,2011-01-04,40.0,26.0,716.0,450.0,AMD
NVIDIA GeForce GT 520 OEM,GPU,2012-08-20,40.0,29.0,292.0,589.0,NVIDIA
NVIDIA GeForce MX350,GPU,2020-02-10,14.0,20.0,3300.0,1354.0,NVIDIA
AMD Radeon Vega 8 Embedded,GPU,2018-04-19,14.0,35.0,4940.0,300.0,AMD
NVIDIA GeForce G210 OEM Rev. 2,GPU,2009-08-24,40.0,31.0,260.0,589.0,NVIDIA
ATI Radeon 9800 PRO MAXX,GPU,NaT,150.0,94.0,117.0,380.0,ATI
NVIDIA Quadro FX 570M,GPU,2007-06-01,80.0,45.0,289.0,475.0,NVIDIA
NVIDIA GeForce GT 630 Rev. 2,GPU,2013-05-29,28.0,25.0,1020.0,902.0,NVIDIA
ATI Radeon X800 GT,GPU,2005-11-01,130.0,40.0,160.0,475.0,ATI
AMD Radeon HD 7510 OEM,GPU,2013-02-01,40.0,39.0,716.0,650.0,AMD
AMD Radeon R7 370,GPU,2015-06-18,28.0,110.0,2800.0,925.0,AMD
ATI FireMV 2250 PCIe x1,GPU,2007-01-01,80.0,32.0,107.0,600.0,ATI
ATI Radeon HD 5450,GPU,2010-02-04,40.0,19.0,292.0,650.0,ATI
NVIDIA GeForce MX330,GPU,2020-02-10,14.0,10.0,1800.0,1531.0,NVIDIA
AMD Radeon R3 Mobile Graphics,GPU,2016-06-01,28.0,15.0,1200.0,200.0,AMD
AMD Radeon Vega 8 Embedded,GPU,2018-02-13,14.0,15.0,4940.0,300.0,AMD
Intel HD Graphics,GPU,2010-01-10,45.0,35.0,177.0,533.0,Intel
3dfx Voodoo5 5500 PCI,GPU,2000-06-22,250.0,30.0,14.0,166.0,Other
AMD Radeon R9 290X,GPU,2013-10-24,28.0,290.0,6200.0,1000.0,AMD
AMD Radeon R9 270,GPU,2013-11-13,28.0,150.0,2800.0,900.0,AMD
AMD Radeon RX 5700 XT,GPU,2019-07-07,7.0,225.0,10300.0,1605.0,AMD
NVIDIA NVS 3100M,GPU,2010-01-07,40.0,14.0,260.0,606.0,NVIDIA
NVIDIA Quadro NVS 440,GPU,2006-02-14,110.0,31.0,146.0,250.0,NVIDIA
NVIDIA GRID K260Q,GPU,2013-06-28,28.0,225.0,3540.0,745.0,NVIDIA
NVIDIA GeForce 9300 + nForce 730i,GPU,2007-04-17,65.0,40.0,314.0,450.0,NVIDIA
NVIDIA GeForce GTX 1060 5 GB,GPU,2017-12-26,16.0,120.0,4400.0,1506.0,NVIDIA
Intel Xeon Phi SE10X,GPU,2012-11-12,22.0,300.0,5000.0,1100.0,Intel
AMD Radeon HD 7480D IGP,GPU,2012-10-02,32.0,65.0,1303.0,720.0,AMD
NVIDIA GeForce GTX 1060 6 GB GP104,GPU,2018-03-08,16.0,120.0,7200.0,1506.0,NVIDIA
AMD Radeon HD 6970,GPU,2010-12-14,40.0,250.0,2640.0,880.0,AMD
AMD Radeon R7 250XE,GPU,2014-08-21,28.0,80.0,1500.0,860.0,AMD
AMD Radeon HD 7970 X2,GPU,2012-08-31,28.0,500.0,4313.0,925.0,AMD
NVIDIA GeForce GT 1030 DDR4,GPU,2018-03-12,14.0,20.0,1800.0,1152.0,NVIDIA
NVIDIA PG506-232,GPU,2021-04-12,7.0,165.0,54200.0,930.0,NVIDIA
NVIDIA Quadro K600,GPU,2013-03-01,28.0,41.0,1270.0,876.0,NVIDIA
ATI Radeon X1300 XT AGP,GPU,2006-08-12,90.0,22.0,157.0,500.0,ATI
AMD Radeon R5 230,GPU,2014-04-03,40.0,19.0,370.0,625.0,AMD
NVIDIA Quadro T600 Mobile,GPU,NaT,12.0,18.0,4700.0,735.0,NVIDIA
AMD Radeon HD 7970,GPU,2011-12-22,28.0,250.0,4313.0,925.0,AMD
AMD Radeon RX 6700M,GPU,NaT,7.0,180.0,17200.0,1489.0,AMD
ATI Radeon X1300 XT,GPU,2006-08-12,90.0,22.0,157.0,500.0,ATI
ATI Radeon X1300 PRO AGP,GPU,2005-10-01,90.0,31.0,107.0,600.0,ATI
AMD Radeon E9171 MCM,GPU,2017-10-03,14.0,40.0,2200.0,1124.0,AMD
NVIDIA Quadro FX 2700M,GPU,2008-08-14,65.0,65.0,505.0,530.0,NVIDIA
AMD Radeon E8860,GPU,2014-01-25,28.0,37.0,1500.0,575.0,AMD
NVIDIA GeForce 7300 GS Low Profile,GPU,2006-01-18,90.0,23.0,112.0,450.0,NVIDIA
ATI Radeon HD 4570 Rebrand,GPU,2009-11-22,55.0,65.0,378.0,796.0,ATI
Intel Xeon Phi 5110P,GPU,2012-11-12,22.0,225.0,5000.0,1053.0,Intel
NVIDIA GeForce 9800S,GPU,2008-07-15,65.0,75.0,505.0,600.0,NVIDIA
AMD Radeon R9 M485X,GPU,2016-05-15,28.0,250.0,5000.0,723.0,AMD
NVIDIA GeForce GTX 480M,GPU,2010-05-25,40.0,100.0,3100.0,425.0,NVIDIA
NVIDIA GeForce GTX 285 Mac Edition,GPU,2009-01-15,55.0,204.0,1400.0,648.0,NVIDIA
ATI Radeon SDR PCI,GPU,2000-06-01,180.0,23.0,30.0,166.0,ATI
NVIDIA GeForce 9500 GS Rev. 2,GPU,2008-07-29,55.0,40.0,314.0,500.0,NVIDIA
AMD Radeon RX Vega 11,GPU,2019-07-07,14.0,15.0,4940.0,300.0,AMD
ATI Mobility Radeon HD 5165,GPU,2010-01-07,55.0,35.0,514.0,600.0,ATI
ATI Radeon X800 GTO AGP,GPU,2007-11-08,130.0,49.0,160.0,400.0,ATI
AMD Radeon R5 235X OEM,GPU,2013-12-21,40.0,18.0,370.0,875.0,AMD
NVIDIA Quadro Plex 2100 D4,GPU,2008-07-25,65.0,640.0,754.0,500.0,NVIDIA
AMD Radeon Pro Duo Polaris,GPU,2017-04-24,14.0,250.0,5700.0,1243.0,AMD
AMD Radeon RX 550X,GPU,2018-12-16,14.0,50.0,2200.0,1100.0,AMD
NVIDIA GeForce GTX 1080 Max-Q,GPU,2017-06-27,16.0,150.0,7200.0,1290.0,NVIDIA
AMD Radeon RX 560 Mobile,GPU,2017-01-05,14.0,55.0,3000.0,1000.0,AMD
NVIDIA Quadro M5500 Mobile,GPU,2016-04-08,28.0,150.0,5200.0,1140.0,NVIDIA
ATI Radeon X600 SE,GPU,2004-09-01,110.0,36.0,107.0,325.0,ATI
3dfx Voodoo4 4000 AGP,GPU,NaT,250.0,15.0,14.0,166.0,Other
AMD FirePro W4000,GPU,2012-08-07,28.0,75.0,2800.0,825.0,AMD
NVIDIA GeForce GTX 580,GPU,2010-11-09,40.0,244.0,3000.0,772.0,NVIDIA
NVIDIA GeForce RTX 2060 Max-Q Refresh,GPU,2019-01-29,12.0,115.0,10800.0,960.0,NVIDIA
ATI Mobility Radeon HD 5650,GPU,2010-01-07,40.0,15.0,627.0,450.0,ATI
AMD Radeon E9550 MXM,GPU,2016-09-27,14.0,95.0,5700.0,1120.0,AMD
ATI Radeon HD 4700,GPU,2010-02-11,55.0,50.0,514.0,600.0,ATI
AMD Radeon HD 8670A,GPU,2013-02-02,28.0,45.0,950.0,600.0,AMD
ATI Xbox 360 GPU 65nm,GPU,2008-08-01,65.0,150.0,232.0,500.0,ATI
AMD Radeon R9 285X,GPU,NaT,28.0,200.0,5000.0,1002.0,AMD
NVIDIA GeForce GTX 1080 11Gbps,GPU,2017-04-20,16.0,180.0,7200.0,1607.0,NVIDIA
NVIDIA Quadro P3000 Mobile,GPU,2017-01-11,16.0,75.0,7200.0,1088.0,NVIDIA
NVIDIA GeForce GT 730,GPU,2014-06-18,28.0,38.0,1020.0,902.0,NVIDIA
NVIDIA GeForce 7600 GS AGP,GPU,2006-07-01,90.0,27.0,177.0,400.0,NVIDIA
NVIDIA GeForce RTX 3070 Mobile,GPU,2021-01-12,8.0,115.0,17400.0,1110.0,NVIDIA
ATI FireMV 2260,GPU,2008-01-01,55.0,15.0,181.0,500.0,ATI
NVIDIA GeForce GTX 560 Ti OEM,GPU,2011-03-30,40.0,210.0,3000.0,732.0,NVIDIA
NVIDIA GRID M60-2Q,GPU,2015-08-30,28.0,225.0,5200.0,557.0,NVIDIA
NVIDIA TITAN X Pascal,GPU,2016-08-02,16.0,250.0,11800.0,1417.0,NVIDIA
AMD FirePro W8100,GPU,2014-06-23,28.0,220.0,6200.0,824.0,AMD
NVIDIA Quadro FX 5600,GPU,2007-03-05,90.0,171.0,681.0,600.0,NVIDIA
NVIDIA P106-090,GPU,2017-07-31,16.0,75.0,4400.0,1354.0,NVIDIA
AMD Radeon R7 Graphics,GPU,2014-02-17,28.0,90.0,2410.0,720.0,AMD
NVIDIA GeForce GT 325M,GPU,2010-01-10,40.0,23.0,486.0,450.0,NVIDIA
NVIDIA RTX A5000,GPU,2021-04-12,8.0,230.0,28300.0,1170.0,NVIDIA
NVIDIA GeForce 7900 GT,GPU,2006-03-09,90.0,48.0,278.0,450.0,NVIDIA
NVIDIA Quadro K2200,GPU,2014-07-22,28.0,68.0,1870.0,1046.0,NVIDIA
NVIDIA GeForce GT 720M,GPU,2013-12-25,28.0,33.0,1020.0,719.0,NVIDIA
AMD FirePro S7100X,GPU,2016-05-25,28.0,100.0,5000.0,725.0,AMD
NVIDIA Quadro 4000,GPU,2010-11-02,40.0,142.0,3100.0,475.0,NVIDIA
AMD Radeon HD 8860 OEM,GPU,2013-01-08,28.0,175.0,2800.0,925.0,AMD
NVIDIA GeForce 8800 GTS 640,GPU,2006-11-08,90.0,143.0,681.0,513.0,NVIDIA
NVIDIA Tesla K20m,GPU,2013-01-05,28.0,225.0,7080.0,706.0,NVIDIA
AMD Radeon HD 6250 IGP,GPU,2012-10-09,40.0,7.0,450.0,276.0,AMD
NVIDIA Quadro NVS 135M,GPU,2007-05-09,80.0,10.0,210.0,400.0,NVIDIA
Intel Xeon Phi 7120P,GPU,2013-06-17,22.0,300.0,5000.0,1238.0,Intel
NVIDIA GeForce RTX 2080 SUPER Mobile,GPU,2020-04-02,12.0,150.0,13600.0,1365.0,NVIDIA
NVIDIA Jetson TX1 GPU,GPU,2015-01-04,20.0,15.0,2000.0,1000.0,NVIDIA
NVIDIA GeForce GT 1030,GPU,2017-05-17,14.0,30.0,1800.0,1228.0,NVIDIA
NVIDIA GeForce FX 5900 Ultra,GPU,2003-10-23,130.0,59.0,135.0,450.0,NVIDIA
ATI Mobility Radeon HD 5670 Mac Edition,GPU,2010-04-22,40.0,15.0,627.0,650.0,ATI
AMD Radeon HD 7340 IGP,GPU,2012-06-06,40.0,18.0,450.0,523.0,AMD
AMD Radeon RX 460 Mobile,GPU,2016-08-08,14.0,55.0,3000.0,1000.0,AMD
NVIDIA Quadro 1000M,GPU,2011-01-13,40.0,45.0,585.0,700.0,NVIDIA
AMD Radeon Vega 8 Mobile,GPU,2021-01-12,7.0,45.0,9800.0,300.0,AMD
NVIDIA Quadro FX 4400,GPU,2005-07-28,130.0,83.0,222.0,375.0,NVIDIA
ATI Radeon HD 2400 PRO PCI,GPU,2007-06-28,65.0,20.0,180.0,525.0,ATI
NVIDIA GeForce 6800 GT,GPU,2004-06-08,130.0,67.0,222.0,350.0,NVIDIA
NVIDIA Quadro FX 4400G,GPU,2005-07-28,130.0,83.0,222.0,375.0,NVIDIA
NVIDIA GeForce RTX 2060,GPU,2019-01-07,12.0,160.0,10800.0,1365.0,NVIDIA
ATI Radeon HD 5670 640SP Edition,GPU,2010-07-18,40.0,64.0,1040.0,750.0,ATI
ATI FirePro V3800,GPU,2010-04-26,40.0,43.0,627.0,650.0,ATI
NVIDIA GRID K200,GPU,2013-06-28,28.0,225.0,3540.0,745.0,NVIDIA
AMD Radeon Pro 450,GPU,2016-10-30,14.0,35.0,3000.0,800.0,AMD
ATI Mobility Radeon HD 2700,GPU,2007-12-12,65.0,35.0,390.0,700.0,ATI
ATI Mobility Radeon HD 3850,GPU,2008-06-04,55.0,35.0,666.0,580.0,ATI
Intel HD Graphics P4000,GPU,2012-05-14,22.0,45.0,1200.0,650.0,Intel
AMD Radeon Graphics 384SP,GPU,2020-01-06,7.0,15.0,9800.0,400.0,AMD
ATI Radeon HD 5770,GPU,2009-10-13,40.0,108.0,1040.0,850.0,ATI
NVIDIA Quadro FX 3500,GPU,2006-05-22,90.0,80.0,278.0,450.0,NVIDIA
AMD Radeon HD 7950 Monica BIOS 1,GPU,2012-01-31,28.0,185.0,4313.0,925.0,AMD
AMD Radeon R7 260,GPU,2013-12-17,28.0,95.0,2080.0,1000.0,AMD
NVIDIA GeForce GT 120M Mac Edition,GPU,2008-12-12,55.0,14.0,314.0,500.0,NVIDIA
ATI Radeon 8500 X4,GPU,NaT,150.0,92.0,60.0,250.0,ATI
NVIDIA GeForce GTX 460 v2,GPU,2011-09-24,40.0,160.0,1950.0,779.0,NVIDIA
AMD FirePro M8900,GPU,2011-04-12,40.0,75.0,1700.0,680.0,AMD
AMD Radeon HD 8250 IGP,GPU,2013-05-23,28.0,8.0,1178.0,300.0,AMD
AMD Radeon HD 6630M Mac Edition,GPU,2011-01-04,40.0,26.0,716.0,500.0,AMD
ATI Radeon HD 3850,GPU,2007-11-19,55.0,75.0,666.0,668.0,ATI
NVIDIA Quadro P400,GPU,2017-02-07,14.0,30.0,3300.0,1228.0,NVIDIA
ATI Radeon 9800,GPU,2003-03-01,150.0,37.0,117.0,325.0,ATI
NVIDIA Quadro 7000,GPU,2012-05-02,40.0,204.0,3000.0,651.0,NVIDIA
ATI Radeon HD 2600 XT,GPU,2007-06-28,65.0,45.0,390.0,800.0,ATI
ATI Radeon 9200 PRO,GPU,2003-05-01,150.0,28.0,36.0,240.0,ATI
ATI FireMV 2200,GPU,2006-01-01,110.0,15.0,107.0,324.0,ATI
ATI Radeon X700 PRO,GPU,2004-09-01,110.0,33.0,120.0,425.0,ATI
AMD Radeon HD 6850 X2,GPU,2011-09-19,40.0,254.0,1700.0,800.0,AMD
AMD Radeon HD 7970 GHz Edition,GPU,2012-06-22,28.0,300.0,4313.0,1000.0,AMD
AMD Radeon E9172 MXM,GPU,2017-10-03,14.0,35.0,2200.0,1124.0,AMD
AMD Radeon HD 8280 IGP,GPU,2013-09-18,28.0,15.0,1178.0,450.0,AMD
NVIDIA Tesla T4,GPU,2018-09-13,12.0,70.0,13600.0,585.0,NVIDIA
ATI Radeon HD 5670,GPU,2010-01-14,40.0,64.0,627.0,775.0,ATI
ATI Radeon X800 XT Platinum AGP,GPU,2004-05-01,130.0,63.0,160.0,520.0,ATI
ATI Radeon X600 PRO,GPU,2004-09-01,110.0,36.0,107.0,400.0,ATI
NVIDIA Quadro K4200,GPU,2014-07-22,28.0,108.0,3540.0,771.0,NVIDIA
AMD Radeon HD 7370M,GPU,2012-01-07,40.0,11.0,292.0,750.0,AMD
ATI Radeon HD 5970,GPU,2009-11-18,40.0,294.0,2154.0,725.0,ATI
NVIDIA GeForce FX 5950 Ultra,GPU,2003-10-23,130.0,74.0,135.0,475.0,NVIDIA
AMD Radeon R5 240 OEM,GPU,2013-11-01,28.0,50.0,950.0,730.0,AMD
NVIDIA Quadro FX 470,GPU,2007-09-12,65.0,38.0,314.0,580.0,NVIDIA
NVIDIA GeForce GTX 750 Ti,GPU,2014-02-18,28.0,60.0,1870.0,1020.0,NVIDIA
NVIDIA Tesla P100 PCIe 12 GB,GPU,2016-06-20,16.0,250.0,15300.0,1190.0,NVIDIA
NVIDIA GeForce GTX 950A,GPU,2015-03-13,28.0,75.0,1870.0,993.0,NVIDIA
AMD Radeon R2 Mobile Graphics,GPU,2016-06-01,28.0,15.0,1200.0,200.0,AMD
AMD Radeon 540X Mobile,GPU,2018-09-05,14.0,50.0,2200.0,980.0,AMD
NVIDIA GeForce Go 7800,GPU,2006-03-03,110.0,35.0,302.0,400.0,NVIDIA
AMD Radeon R9 380 OEM,GPU,2015-05-05,28.0,190.0,5000.0,918.0,AMD
NVIDIA ION LE,GPU,2008-06-03,65.0,20.0,282.0,450.0,NVIDIA
AMD Radeon HD 6870 1600SP Edition,GPU,2013-01-14,40.0,175.0,2154.0,850.0,AMD
NVIDIA Quadro Plex 1000 Model IV,GPU,2008-07-25,90.0,320.0,681.0,600.0,NVIDIA
NVIDIA GRID K100,GPU,2013-06-28,28.0,130.0,1270.0,850.0,NVIDIA
NVIDIA GeForce GTS 450 OEM,GPU,2010-09-13,40.0,106.0,1170.0,783.0,NVIDIA
NVIDIA A100 SXM4 80 GB,GPU,2020-11-16,7.0,400.0,54200.0,1095.0,NVIDIA
AMD Radeon RX 640 Mobile,GPU,2019-05-13,14.0,50.0,2200.0,1082.0,AMD
NVIDIA Quadro FX 350M,GPU,2006-03-13,90.0,15.0,112.0,450.0,NVIDIA
AMD Radeon R9 M295X,GPU,2014-11-23,28.0,250.0,5000.0,723.0,AMD
NVIDIA Quadro RTX 3000 Mobile Refresh,GPU,2019-05-27,12.0,80.0,10800.0,945.0,NVIDIA
NVIDIA Tesla C2070,GPU,2011-07-25,40.0,238.0,3100.0,574.0,NVIDIA
ATI All-In-Wonder HD 3650,GPU,2008-06-28,55.0,55.0,378.0,722.0,ATI
AMD Radeon HD 7990,GPU,2013-04-24,28.0,375.0,4313.0,950.0,AMD
NVIDIA Quadro RTX 6000 Passive,GPU,2018-08-13,12.0,260.0,18600.0,1305.0,NVIDIA
AMD Radeon RX 560 Mobile,GPU,2017-01-05,14.0,55.0,3000.0,784.0,AMD
ATI Mobility Radeon HD 5770,GPU,2010-01-07,40.0,30.0,627.0,650.0,ATI
Intel Xe Arctic Sound,GPU,2020-01-01,10.0,500.0,8000.0,900.0,Intel
NVIDIA Quadro RTX 5000,GPU,2018-08-13,12.0,230.0,13600.0,1620.0,NVIDIA
NVIDIA GeForce GTX 1060 3 GB,GPU,2016-08-18,16.0,120.0,4400.0,1506.0,NVIDIA
ATI Radeon X1550 PCI,GPU,2007-01-01,80.0,27.0,107.0,452.0,ATI
ATI Radeon HD 5870 Mac Edition,GPU,2010-06-30,40.0,228.0,2154.0,850.0,ATI
NVIDIA Quadro K6000,GPU,2013-07-23,28.0,225.0,7080.0,797.0,NVIDIA
AMD Radeon HD 7470A,GPU,2012-01-05,40.0,18.0,627.0,775.0,AMD
